Login Time (Pacific Daylight Time),Source IP,Login Type,Status,Browser,Platform,Application,Login URL,TLS Protocol,TLS Cipher Suite,Country Code,Country,Subdivision,City,Postal Code,Latitude,Longitude,HTTP Method,Authentication Method Reference,Login Subtype,Forwarded For IP
"12/14/2024, 9:06 PM",99.11.236.239,Application,Success,Firefox 133,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.242.8"
"12/14/2024, 8:56 PM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.242.8"
"12/14/2024, 8:56 PM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.242.8"
"12/14/2024, 8:52 PM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.246.8"
"12/14/2024, 8:52 PM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.246.8"
"12/14/2024, 8:37 PM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.242.8"
"12/14/2024, 8:37 PM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.242.8"
"12/14/2024, 8:36 PM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.242.8"
"12/14/2024, 8:36 PM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.246.8"
"12/14/2024, 3:37 PM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.242.8"
"12/14/2024, 3:35 PM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.242.8"
"12/14/2024, 3:34 PM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.242.8"
"12/14/2024, 3:26 PM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.246.8"
"12/14/2024, 3:26 PM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.246.8"
"12/14/2024, 3:03 PM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.246.8"
"12/14/2024, 3:03 PM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.246.8"
"12/14/2024, 2:57 PM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.242.8"
"12/14/2024, 2:57 PM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.246.8"
"12/14/2024, 10:32 AM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.246.8"
"12/14/2024, 10:32 AM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.246.8"
"12/14/2024, 9:44 AM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.246.8"
"12/14/2024, 9:44 AM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.246.8"
"12/13/2024, 11:44 PM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.246.8"
"12/13/2024, 11:43 PM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.246.8"
"12/13/2024, 10:51 PM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.242.8"
"12/13/2024, 10:51 PM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.242.8"
"12/13/2024, 10:46 PM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.246.8"
"12/13/2024, 10:46 PM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.246.8"
"12/13/2024, 9:37 PM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.246.8"
"12/13/2024, 9:33 PM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.246.8"
"12/13/2024, 9:30 PM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.246.8"
"12/13/2024, 9:28 PM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.242.8"
"12/13/2024, 9:14 PM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.246.8"
"12/13/2024, 9:11 PM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.246.8"
"12/13/2024, 9:07 PM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.246.8"
"12/13/2024, 9:01 PM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.246.8"
"12/13/2024, 8:54 PM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.246.8"
"12/13/2024, 8:50 PM",99.11.236.239,Application,Success,Firefox 133,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.242.8"
"12/13/2024, 8:47 PM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.242.8"
"12/13/2024, 8:45 PM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.242.8"
"12/13/2024, 8:37 PM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.246.8"
"12/13/2024, 8:35 PM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.246.8"
"12/13/2024, 8:18 PM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.242.8"
"12/13/2024, 8:17 PM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.246.8"
"12/13/2024, 8:07 PM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.246.8"
"12/13/2024, 8:06 PM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.246.8"
"12/13/2024, 8:02 PM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.242.8"
"12/13/2024, 8:02 PM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.242.8"
"12/13/2024, 8:23 AM",174.226.122.255,Application,Failed: Computer activation required,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Dallas,75243,32.910299999999999442934495164081454277,-96.7283000000000043883119360543787479401,POST,,,"13.110.242.8"
"12/13/2024, 6:56 AM",99.11.236.239,Application,Success,Firefox 133,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.242.8"
"12/13/2024, 6:54 AM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.242.8"
"12/11/2024, 6:35 PM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.242.8"
"12/11/2024, 6:18 PM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.242.8"
"12/11/2024, 6:12 PM",99.11.236.239,Application,Success,Chrome 131,Windows 10,Browser,login.salesforce.com,TLS 1.3,TLS_AES_256_GCM_SHA384,US,United States,Texas,Prosper,75078,33.2338999999999984424903232138603925705,-96.79810000000000513864506501704454422,POST,,,"13.110.242.8"
